[GLUe]_0	Values[V_OXPHOS].InitialValue	(OXPHOS).Flux
0.5	24.745	7.04683
0.5	24.78	7.0477
0.5	24.815	7.04855
0.5	24.85	7.04941
0.5	24.885	7.05025
0.5	24.92	7.0511
0.5	24.955	7.05194
0.5	24.99	7.05278
0.5	25.025	7.05361
0.5	25.06	7.05444
0.5	25.095	7.05526
0.5	25.13	7.05608
0.5	25.165	7.0569
0.5	25.2	7.05772
0.5	25.235	7.05852
0.5	25.27	7.05933
0.5	25.305	7.06013
0.5	25.34	7.06093
0.5	25.375	7.06172
0.5	25.41	7.06252
0.5	25.445	7.0633
0.5	25.48	7.06409
0.5	25.515	7.06487
0.5	25.55	7.06564
0.5	25.585	7.06642
0.5	25.62	7.06718
0.5	25.655	7.06795
0.5	25.69	7.06871
0.5	25.725	7.06947
0.5	25.76	7.07023
0.5	25.795	7.07098
0.5	25.83	7.07173
0.5	25.865	7.07247
0.5	25.9	7.07321
0.5	25.935	7.07395
0.5	25.97	7.07469
0.5	26.005	7.07542
0.5	26.04	7.07614
0.5	26.075	7.07687
0.5	26.11	7.07759
0.5	26.145	7.07831
0.5	26.18	7.07902
0.5	26.215	7.07974
0.5	26.25	7.08045
0.5	26.285	7.08115
0.5	26.32	7.08185
0.5	26.355	7.08255
0.5	26.39	7.08325
0.5	26.425	7.08394
0.5	26.46	7.08463
0.5	26.495	7.08532
0.5	26.53	7.08601
0.5	26.565	7.08669
0.5	26.6	7.08736
0.5	26.635	7.08804
0.5	26.67	7.08871
0.5	26.705	7.08938
0.5	26.74	7.09005
0.5	26.775	7.09071
0.5	26.81	7.09137
0.5	26.845	7.09203
0.5	26.88	7.09269
0.5	26.915	7.09334
0.5	26.95	7.09399
0.5	26.985	7.09463
0.5	27.02	7.09528
0.5	27.055	7.09592
0.5	27.09	7.09656
0.5	27.125	7.09719
0.5	27.16	7.09783
0.5	27.195	7.09846
0.5	27.23	7.09908
0.5	27.265	7.09971
0.5	27.3	7.10033
0.5	27.335	7.10095
0.5	27.37	7.10157
0.5	27.405	7.10218
0.5	27.44	7.1028
0.5	27.475	7.1034
0.5	27.51	7.10401
0.5	27.545	7.10462
0.5	27.58	7.10522
0.5	27.615	7.10582
0.5	27.65	7.10641
0.5	27.685	7.10701
0.5	27.72	7.1076
0.5	27.755	7.10819
0.5	27.79	7.10878
0.5	27.825	7.10936
0.5	27.86	7.10994
0.5	27.895	7.11052
0.5	27.93	7.1111
0.5	27.965	7.11168
0.5	28	7.11225
0.5	28.035	7.11282
0.5	28.07	7.11339
0.5	28.105	7.11395
0.5	28.14	7.11452
0.5	28.175	7.11508
0.5	28.21	7.11564
0.5	28.245	7.1162
0.5	28.28	7.11675
0.5	28.315	7.1173
0.5	28.35	7.11785
0.5	28.385	7.1184
0.5	28.42	7.11895
0.5	28.455	7.11949
0.5	28.49	7.12003
0.5	28.525	7.12057
0.5	28.56	7.12111
0.5	28.595	7.12164
0.5	28.63	7.12218
0.5	28.665	7.12271
0.5	28.7	7.12324
0.5	28.735	7.12376
0.5	28.77	7.12429
0.5	28.805	7.12481
0.5	28.84	7.12533
0.5	28.875	7.12585
0.5	28.91	7.12637
0.5	28.945	7.12688
0.5	28.98	7.12739
0.5	29.015	7.1279
0.5	29.05	7.12841
0.5	29.085	7.12892
0.5	29.12	7.12942
0.5	29.155	7.12992
0.5	29.19	7.13043
0.5	29.225	7.13092
0.5	29.26	7.13142
0.5	29.295	7.13192
0.5	29.33	7.13241
0.5	29.365	7.1329
0.5	29.4	7.13339
0.5	29.435	7.13388
0.5	29.47	7.13436
0.5	29.505	7.13485
0.5	29.54	7.13533
0.5	29.575	7.13581
0.5	29.61	7.13629
0.5	29.645	7.13676
0.5	29.68	7.13724
0.5	29.715	7.13771
0.5	29.75	7.13818
0.5	29.785	7.13865
0.5	29.82	7.13912
0.5	29.855	7.13959
0.5	29.89	7.14005
0.5	29.925	7.14051
0.5	29.96	7.14097
0.5	29.995	7.14143
0.5	30.03	7.14189
0.5	30.065	7.14235
0.5	30.1	7.1428
0.5	30.135	7.14325
0.5	30.17	7.1437
0.5	30.205	7.14415
0.5	30.24	7.1446
0.5	30.275	7.14505
0.5	30.31	7.14549
0.5	30.345	7.14593
0.5	30.38	7.14637
0.5	30.415	7.14681
0.5	30.45	7.14725
0.5	30.485	7.14769
0.5	30.52	7.14812
0.5	30.555	7.14856
0.5	30.59	7.14899
0.5	30.625	7.14942
0.5	30.66	7.14985
0.5	30.695	7.15027
0.5	30.73	7.1507
0.5	30.765	7.15112
0.5	30.8	7.15154
0.5	30.835	7.15196
0.5	30.87	7.15238
0.5	30.905	7.1528
0.5	30.94	7.15322
0.5	30.975	7.15363
0.5	31.01	7.15405
0.5	31.045	7.15446
0.5	31.08	7.15487
0.5	31.115	7.15528
0.5	31.15	7.15569
0.5	31.185	7.15609
0.5	31.22	7.1565
0.5	31.255	7.1569
0.5	31.29	7.1573
0.5	31.325	7.1577
0.5	31.36	7.1581
0.5	31.395	7.1585
0.5	31.43	7.1589
0.5	31.465	7.15929
0.5	31.5	7.15969
